Epoch,Training accuracy,Validation accuracy,Test accuracy
0,0.636,0.605," 0.64"
1,0.7695,0.775," 0.775"
2,0.8305,0.825," 0.805"
3,0.807,0.815," 0.805"
4,0.687,0.655," 0.65"
5,0.8805,0.8325," 0.815"
6,0.878,0.8375," 0.78"
7,0.7535,0.72," 0.7"
8,0.8665,0.8425," 0.82"
9,0.9025,0.865," 0.865"
10,0.7925,0.735," 0.71"
11,0.889,0.845," 0.805"
12,0.9035,0.8875," 0.845"
13,0.836,0.7825," 0.755"
14,0.893,0.8925," 0.895"
15,0.921,0.8775," 0.85"
16,0.9285,0.8825," 0.885"
17,0.9295,0.8825," 0.86"
18,0.911,0.8725," 0.855"
19,0.9285,0.8675," 0.875"
20,0.89,0.85," 0.805"
21,0.931,0.8925," 0.87"
22,0.935,0.91," 0.88"
23,0.938,0.92," 0.89"
24,0.923,0.885," 0.855"
25,0.9365,0.9025," 0.875"
26,0.9405,0.9025," 0.885"
27,0.9385,0.905," 0.91"
28,0.949,0.9175," 0.91"
29,0.938,0.905," 0.89"
30,0.9365,0.9125," 0.895"
31,0.885,0.8525," 0.8"
32,0.928,0.8925," 0.865"
33,0.9255,0.89," 0.865"
34,0.911,0.8825," 0.89"
35,0.9565,0.93," 0.91"
36,0.9555,0.9325," 0.935"
37,0.954,0.9275," 0.925"
38,0.9015,0.8625," 0.82"
39,0.908,0.895," 0.88"
40,0.919,0.895," 0.895"
41,0.95,0.9225," 0.91"
42,0.9365,0.92," 0.86"
43,0.9505,0.9225," 0.92"
44,0.959,0.9325," 0.935"
45,0.958,0.9375," 0.93"
46,0.9295,0.8725," 0.86"
47,0.962,0.93," 0.92"
48,0.963,0.9325," 0.92"
49,0.9535,0.925," 0.93"
50,0.9635,0.925," 0.92"
51,0.9565,0.92," 0.915"
52,0.964,0.925," 0.915"
53,0.95,0.9025," 0.89"
54,0.9525,0.9," 0.875"
55,0.963,0.925," 0.925"
56,0.966,0.9375," 0.925"
57,0.9655,0.9225," 0.9"
58,0.962,0.925," 0.915"
59,0.943,0.9125," 0.91"
60,0.969,0.915," 0.905"
61,0.973,0.925," 0.905"
62,0.9495,0.9325," 0.905"
63,0.966,0.9375," 0.925"
64,0.96,0.93," 0.92"
65,0.9725,0.935," 0.92"
66,0.8925,0.8575," 0.85"
67,0.9505,0.9125," 0.905"
68,0.96,0.9," 0.89"
69,0.9705,0.9375," 0.91"
70,0.9735,0.94," 0.935"
71,0.9405,0.875," 0.865"
72,0.971,0.9225," 0.92"
73,0.9775,0.95," 0.93"
74,0.9715,0.91," 0.92"
75,0.9735,0.94," 0.925"
76,0.981,0.9425," 0.94"
77,0.942,0.885," 0.86"
78,0.983,0.9475," 0.935"
79,0.973,0.94," 0.92"
80,0.9845,0.9475," 0.92"
81,0.977,0.9275," 0.915"
82,0.983,0.9425," 0.925"
83,0.9825,0.945," 0.93"
84,0.9575,0.9175," 0.905"
85,0.9655,0.92," 0.905"
86,0.9795,0.935," 0.915"
87,0.977,0.93," 0.93"
88,0.9785,0.9425," 0.92"
89,0.9735,0.9225," 0.91"
90,0.9735,0.9225," 0.91"
91,0.981,0.945," 0.915"
92,0.982,0.94," 0.935"
93,0.982,0.94," 0.935"
94,0.983,0.9275," 0.905"
95,0.983,0.9275," 0.905"
96,0.9805,0.9125," 0.895"
97,0.981,0.9325," 0.915"
98,0.9865,0.9175," 0.92"
99,0.982,0.9175," 0.915"
100,0.8635,0.81," 0.78"
101,0.9675,0.935," 0.925"
102,0.97,0.9275," 0.93"
103,0.955,0.8825," 0.87"
104,0.977,0.905," 0.905"
105,0.984,0.94," 0.935"
106,0.988,0.9375," 0.93"
107,0.984,0.9225," 0.915"
108,0.9885,0.9425," 0.91"
109,0.9665,0.9225," 0.91"
110,0.9665,0.9225," 0.91"
111,0.954,0.9025," 0.92"
112,0.9855,0.9375," 0.92"
113,0.977,0.94," 0.9"
114,0.9735,0.915," 0.88"
115,0.964,0.9075," 0.915"
116,0.925,0.8475," 0.815"
117,0.9595,0.9225," 0.91"
118,0.9865,0.94," 0.925"
119,0.989,0.945," 0.935"
120,0.99,0.945," 0.925"
121,0.986,0.9275," 0.92"
122,0.9475,0.9125," 0.905"
123,0.9885,0.94," 0.92"
124,0.985,0.9425," 0.91"
125,0.985,0.9425," 0.91"
126,0.984,0.9225," 0.91"
127,0.984,0.9225," 0.91"
128,0.989,0.945," 0.925"
129,0.9915,0.9225," 0.915"
130,0.983,0.94," 0.92"
131,0.992,0.935," 0.915"
132,0.992,0.935," 0.915"
133,0.992,0.935," 0.915"
134,0.992,0.935," 0.915"
135,0.993,0.9475," 0.92"
136,0.993,0.9475," 0.92"
137,0.986,0.9175," 0.905"
138,0.9935,0.94," 0.92"
139,0.9935,0.94," 0.92"
140,0.9905,0.945," 0.92"
141,0.9905,0.945," 0.92"
142,0.9905,0.945," 0.92"
143,0.9905,0.945," 0.92"
144,0.978,0.935," 0.915"
145,0.977,0.9375," 0.915"
146,0.993,0.935," 0.92"
147,0.986,0.945," 0.92"
148,0.986,0.945," 0.92"
149,0.9675,0.9025," 0.89"
150,0.983,0.945," 0.92"
151,0.9895,0.95," 0.92"
152,0.995,0.945," 0.915"
153,0.995,0.945," 0.915"
154,0.996,0.95," 0.92"
155,0.996,0.95," 0.92"
156,0.996,0.95," 0.92"
157,0.996,0.95," 0.92"
158,0.996,0.95," 0.92"
159,0.996,0.95," 0.92"
160,0.996,0.95," 0.92"
161,0.996,0.95," 0.92"
162,0.996,0.95," 0.92"
163,0.9885,0.935," 0.925"
164,0.974,0.9125," 0.89"
165,0.993,0.9425," 0.935"
166,0.972,0.935," 0.925"
167,0.9515,0.9175," 0.92"
168,0.989,0.9425," 0.935"
169,0.989,0.9425," 0.935"
170,0.989,0.9425," 0.935"
171,0.9855,0.9375," 0.9"
172,0.9875,0.95," 0.935"
173,0.9875,0.95," 0.935"
174,0.9955,0.95," 0.945"
175,0.9955,0.95," 0.945"
176,0.9955,0.95," 0.945"
177,0.9955,0.95," 0.945"
178,0.99,0.94," 0.915"
179,0.9955,0.95," 0.93"
180,0.9865,0.945," 0.93"
181,0.9945,0.9475," 0.935"
182,0.9945,0.9475," 0.935"
183,0.9945,0.9475," 0.935"
184,0.995,0.9525," 0.93"
185,0.995,0.9525," 0.93"
186,0.995,0.9525," 0.93"
187,0.9695,0.9075," 0.86"
188,0.9945,0.9425," 0.92"
189,0.9875,0.94," 0.915"
190,0.9875,0.94," 0.915"
191,0.9875,0.94," 0.915"
192,0.9815,0.9325," 0.915"
193,0.984,0.93," 0.905"
194,0.984,0.93," 0.905"
195,0.995,0.9525," 0.925"
196,0.995,0.9525," 0.925"
197,0.996,0.955," 0.925"
198,0.996,0.955," 0.925"
199,0.996,0.955," 0.925"
200,0.996,0.955," 0.925"
201,0.985,0.935," 0.925"
202,0.985,0.935," 0.925"
203,0.995,0.9475," 0.93"
204,0.995,0.9475," 0.93"
205,0.995,0.9475," 0.93"
206,0.9915,0.9425," 0.925"
207,0.9965,0.9425," 0.935"
208,0.9975,0.9475," 0.935"
209,0.9975,0.9475," 0.935"
210,0.9975,0.9475," 0.935"
211,0.9985,0.9475," 0.93"
212,0.9985,0.9475," 0.93"
213,0.9985,0.9475," 0.93"
214,0.995,0.95," 0.925"
215,0.995,0.95," 0.925"
216,0.995,0.95," 0.925"
